Company,Flag,Deployment,Country,Mnos,Sharing Model,Business Model,Scope,Highlights,Status,Year,Deployment Scenario
finnish_shared_network,Finland,Finnish Shared Network,Finland,"DNA Oyj
Telia Finland Oyj",MOCN,Joint Venture,"The network will cover Northern and eastern Finland, focusing on rural areas.","“Suomen Yhteisverkko Oy” is a joint venture created by: DNA Oyj and Telia Finland Oyj
The Finnish Shared Network was founded in 2014 to design, implement and maintain a mobile network in Northern and Eastern Finland.
Apart from providing coverage to rural areas, the project includes the rollout of 5G RAN equipment and modernization of existing 2G, 3G and 4G sites across network’s coverage.
Successful initiative, currently expanding the Network coverage from 50% to 62.5% of Finland’s territory and from 13.5% to 28.5% of total population",Active,2014,Rural and Ultra-Rural
extenet_systems,USA,ExteNet Systems,USA,More than 20,MNO/MVNO Wholesale,Independent Mobile NaaSCo,"ExteNet systems has 2,000+ operational sites comprising 300+ outdoor networks.
ExteNet enabled advanced mobility and building communications service in 200+ buildings.
CBRS spectrum to deploy 4G and 5G sites","Extenet systems includes multiple use cases: Fixed Wireless, LTE/5G Mobility, Roaming and VoLTE.
ExteNet solutions include macro cells, small cells, and Distributed Antenna System (DAS), complementing with carrier-grade transport links and dark fiber as a wholesale service.
Relevant In-Building networks: Bank of America Plaza, Barclays Center, Empire State Building, A&T Stadium.
Relevant Outdoor networks: Circuit of the Americas Racetrack, San Francisco and New York.",Active,2012,"Rural, Low-ARPU Urban, High-ARPU Urban"
crown_castle,USA,Crown Castle,USA,"T-Mobile, Verizon, Others",MNO/MVNO Wholesale,Independent Mobile NaaSCo,"Crown Castle has activated 55,000 small cells and has another 60,000 in its pipeline. 
MNO’s spectrum to deploy 5G small cells","In 2021, Verizon committed to lease 15,000 new small cells that Crown Castle plans to install within the next four years.
Crown Castle has deployed 5G Small Cells in major US cities, such as: New York, Chicago, Los Angeles, etc.",Active,2018,"Low-ARPU Urban, High-ARPU Urban"
mobilitie,USA,Mobilitie,USA,"T-Mobile, Sprint, Others",MNO/MVNO Wholesale,Independent Mobile NaaSCo,"Mobilitie has deployed 10,000 small cells across 45 states
MNO’s spectrum to deploy 4G and 5G small cells","Mobilitie has deployed 4G/5G Small Cells in US cities, such as: Las Vegas, Chicago, Los Angeles and others.
In 2021, BAI Communications, a global communications infrastructure provider acquired Mobilitie.",Active,2017,"Low-ARPU Urban, High-ARPU Urban"
mila,Iceland,Míla,Iceland,"Síminn, Sýn (formerly Vodafone Iceland) , Nova among others",MORAN,Independent Mobile NaaSCo,"Míla will build a nationwide 5G wireless network, 31 5G stations already deployed in the capital area
It will deploy 40 – 50 5G stations  by 2022","In 2021, Ardian Infrastructure adquired Míla for an enterprise value of $605m USD.
In 2021, Mila bought Síminn’s 2G, 3G, 4G mobile Network
Síminn will remain Míla’s long-term anchor tenant
The 5G Network will be deployed with Ericsson equipment.",Active,2021,"Rural, Ultra-Rural,Low-ARPU Urban, High-ARPU Urban"
ttn,Denmark,TTN,Denmark,Telenor and Telia,MOCN,Independent Mobile NaaSCo,"Current: 4,300 sites, three million customers ","Joint venture between Telenor and Telia 
The parties are obliged to buy frequency licenses in common, the spectrum before acquired before the joint venture is shared
TTN is Denmark’s largest mobile network 
Each Operator owns 50% of the Network
Nokia will be the exclusive supplier of 5G RAN equipment and will support the modernization of the shared network
The TTN 5G pilot was the first network to simultaneously support 2G-5G sharing.",Active,2012,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban"
iliad,Italy,Iliad,Italy,---,---,Independent Mobile NaaSCo,"5G
The Network shared will include 7,000 Wind Tre's existing mobile sites which cover about 27% of the Italian population living in remote areas","Joint Venture between Iliad and Wind Tre
The agreement was not signed yet",Active,2022,"Rural, Ultra-Rural"
cetin,,Cetin,"Czech Republic, Bulgaria, Hungary, Serbia","O2, T-Mobile and Vodafone, Telenor among others",MORAN,Independent Mobile NaaSCo,"2G, 3G, 4G & 5G
2,600 sites in Bulgaria
2,300 sites in Hungary
2,100 sites in Serbia
~4,200 sites in Czech Republic","CETIN Czechia was founded in 2015 as a spin-off from O2 CZ Group and acquired by PPF Telecom Group
In 2020, CETIN expanded its Network to Bulgaria, Hungary & Serbia as a spin-off from Telenor in these countries. 
CETIN Czechia is the main provider of mobile network services for O2 Czech
CETIN Hungary’s 4G telecommunications infrastructure covers 99.9 % of the Hungarian population
Through a shared network, It operates the mobile network for T-Mobile Czech Republic in half the country
In 2020,  CETIN Czechia signed a five-year contract with Ericsson to upgrade its 4G Network to 5G ",Active,2020,"Rural, Low-ARPU Urban, High-ARPU Urban"
andean_telecom_partners,Peru,Andean Telecom Partners,Peru,---,FTTH Wholesale| Dark Fiber Leasing,Independent Fixed NaaSCo,"Roll out of FTTH Network in Barranco district of the capital city, Lima",The Network will be deployed with Nokia’s Equipment,Active,2020,High-ARPU Urban
sifi_networks_fullerton_fibercity,USA,SiFi Networks – Fullerton FiberCity,USA,Ting and GigabitNow,FTTH Wholesale,Independent Fixed NaaSCo,"SiFi Networks under its FiberCity brand funds, builds and operates city wide OANs
The fiber network will pass 55,000 homes and 5,000 businesses","In 2019, SiFi Networks began constructing the Fullerton Fiber City network and the first residential customers were hooked up in June 2020
Fullerton, California, is known as the largest privately funded OAN fiber network in US with a total funding of $75 million.
To 2022 Q1, SiFi Networks has built 35% of the Fullerton fiber network using micro-trenching technique for underground fiber deployment.
The ISPs offer residentials symmetrical 250 Mbps and 1 Gbps for $60/month and $79/month, respectively.
SiFi is currently (2022 Q1) in the process of building three FiberCities: Fullerton California, Placentia, California and East Hartford, Connecticut.",Active,2019,"Low-ARPU Urban, High-ARPU Urban"
atherton_fiber,USA,OpenFiber - Atherton Fiber,USA,"Atherton Fiber Internet Service,  LMi.net and Monkeybrains",FTTH Wholesale,Independent Fixed NaaSCo,"Atherton Fiber network covers 3 California neighborhoods: Atherton, North Fair Oaks and Lindenwood
The FTTH services will be expanded to Woodside, Menlo Oaks, and East Palo Alto","Atherton Fiber was created as a private Competitive Local Exchange Carrier (CLEC) so that it could use local utility poles and operate as a telecommunications utility.
Community-driven, open-access fiber optic network that delivers symmetrical internet connections.&&
The offered plans by the CSPs are: 100 Mbps / $50 per month, 500 Mbps / $55 per month, and 1 Gbps / $65 per month.&&
Atherton Fiber promotes in its website the FCC Affordable Connectivity Program (ACP) where the customer may qualify for a $30 monthly discount on high-speed home internet.",Active,2014,Low-ARPU Urban
logix_fiber_networks,USA,Logix Fiber Networks,USA,---,"Dark Fiber Leasing, Wavelength Service and IP/Ethernet Services",Independent Fixed NaaSCo,"LOGIX is the largest fiber network provider in Texas, and operates high-performance colocation data center facilities in Houston, Austin and Dallas. 
LOGIX operates more than 290,000 fiber miles.","The LOGIX fiber network connects over 3,000 enterprise buildings and nearly 100 third-party data centers in Texas.
In 2022, LOGIX signed agreements with two major MNOs to provide fiber to the tower solutions as the state moves towards the realization of 5G.
LOGIX is selected by over 10,000 enterprise and carrier customers for its highly secure, fiber-based data and voice services, as well as data center access.",Active,1990,"Rural, Low-ARPU Urban, High-ARPU Urban"
uniti,USA,Uniti,USA,---,"Dark Fiber Leasing, Wavelength Service and IP/Ethernet Services",Independent Fixed NaaSCo,"Uniti network mainly provide services in the western part of the US
Uniti operates more than 128,000 fiber route miles.","Uniti Fiber is a wholly owned subsidiary of Uniti Group, a publicly traded Real Estate Investment Trust (REIT).
The wavelength and Ip/Ethernet services are provided across 7 states of the US (Texas, Louisiana, Mississipi, Alabama, Georgia, Florida and Maryland)
Uniti's fiber network reaches more than 250,000 on-net and near-net buildings",Active,2000,"Low-ARPU Urban, High-ARPU Urban"
fibertech,Jordan,Fibertech,Jordan,MNOs & ISPs in Jordan,"FTTH Wholesale, IP/Ethernet Services",Independent Fixed NaaSCo,~ 1.3 million households and enterprise premises,"Joint venture between Jordan Electrical Power Company (JEPCO) and Umniah Mobile Company
Initial investment of JD40 million 
Fibertech is the first of its kind in Jordan and the region
The Network will be deployed in areas served by JEPCO
In 2021, it received a loan of JD25 million from the  Housing Bank for Trade and Finance
It signed a MoU  with Huawei to enhance the infrastructure and operational efficiency of its network",Active,2019,"Rural, Low-ARPU Urban"
fibrasil,Brazil,FiBrasil,Brazil,Vivo among others,FTTH Wholesale,Independent Fixed NaaSCo,"It is committed to covering 5.5 million Homes Passed  within 4 years
34 Brazilian Cities, 24 millones de Homes Passed ","CDPQ will invest R$1.8 billion (CA$408 million)
Joint venture between Telefónica Group and CDPQ under a co-control governance model
Deployment plan fully financed through CDPQ’s investment and new debt expected to be raised by FiBrasil
Initial footprint of  1.6 million Homes Passed (current Telefonica’s customers)",Active,2021,"Low-ARPU Urban, High-ARPU Urban"
open_dutch_fiber,Netherlands,Open Dutch Fiber,Netherlands,T-Mobile Netherlands among others,FTTH Wholesale,Independent Fixed NaaSCo,Target: one million households in the Netherlands by 2025,"Joint venture between Global investment firm KKR and Deutsche Telekom Capital Partners (DTCP) 
T-Mobile Netherlands will be the anchor tenant under a 20-year agreement
The deployment started in Q2 2021 with an investment of EUR700 million (USD828 million) ",Active,2021,"Low-ARPU Urban, High-ARPU Urban"
fiberklaar,Belgium,Fiberklaar,Belgium,"Rapidxs, edpnet, multifiber, proximus",FTTH Wholesale,Independent Fixed NaaSCo,1.5 million homes by 2028,"Joint Venture between EQT Infrastructure and Proximus
The deployment started in late 2021
 Investment of 2.5 billion euros
It works under the “demand bundling” model, the Network deployment only starts in certain regions with interested parties ",Active,2021,"Ultra-Rural, Rural, Low-ARPU Urban"
swiss_fiber_net,Switzerland,Swiss Fiber Net ,Switzerland,"Swiss4net, ftth fr, among others",FTTH Wholesale,Independent Fixed NaaSCo,"12, 500  households in Otelfingen, Sins and Lenzburg
100,000 additional households in 2021","A joint venture of local and regional energy providers in Switzerland
Network consortium consisting of local fiber networks constructed by utility providers used as a common platform for resale.
Telecom providers and Network owners sign 20-year indefeasible rights of use (IRU) 
Swiss Fibre Net operates Swiss Open Fiber Network, a joint venture between Salt and Sunrise ",Active,2013,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban"
rune,,RUNE,"Slovenia, Croatia","Slovenia: A1, T2, telemach and Telekom Slovenije

Croatia: fibernet, Terrakom, Tehnoline",FTTH Wholesale,Independent Fixed NaaSCo,"Target: 150,000 households in Slovenia  and 200,000 addresses in Croatia","In 2022,  European banks provided an additional founding of 130 million euros 
First Project funded by the Connecting Europe Broadband Fund (CEBF)
RUNE is the first multinational project at the EU level.
The end-user should pay a one-time amount for the Last-Mile connection ",Active,2020,"Ultra-Rural, Rural"
onnet_fibra_chile,Chile,ON*NET Fibra Chile,Chile,---,FTTH Wholesale | Ip/Ethernet Services,Independent Fixed NaaSCo,"Current:  2.4 million households, 32,000km
Target: 3.5 million households by the end of 2022
36,000km, connecting 15 regions and 180 districts","The company announced an investment of USD 130 million in the coming 18 months
The first wholesale neutral fiber-to-the-home (FTTH) company in Chile
To found the new company, KKR acquired 60% of InfraCO, a subsidiary of Telefonica Chile
 50% of the households in its deployment plan are located outside the urban areas",Active,2013,"Rural, Ultra-Rural, Low-ARPU Urban"
onnet_fibra_colombia,Colombia,ON*NET Fibra Colombia,Colombia,Telefonica among others,FTTH Wholesale/ IP/ Ethernet Services,Independent Fixed NaaSCo,"1.7 million homes covered in more than 38 cities
Additional 4.3 million Passed Property Units by 2024 with an investment of $215M","New company founded by Telefonica Colombia and the investment firm KKR (60% owned by KKR)
KKR acquired 60% of the Telefonica Fiber Network. The Network evolved into wholesale Network
In 2022, It received a loan of  $221M from Scotiabank Colpatria S.A., Bancolombia S.A., BBVA Colombia y The Bank Of Nova Scotia (Scotiabank)",Active,2021,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban"
onivia,Spain,Onivia,Spain,MÁSMÓVIL and Orange among others,FTTH Wholesale,Independent Fixed NaaSCo,"Current: 2.1 M premises passed in urban & rural areas, coverage in more then 1,000 cities.
8,400 km of fiber","In 2019, Macquarie Capital and Aberdeen Standard acquired MÁSMÓVIL’s urban FTTH network to create Onivia. They paid €218.5m.
In 2021,  the Onivia’s Network doubled its size with the acquisition of MÁSMÓVIL’s rural FTTH network.
MÁSMÓVIL retained full ownership of its existing customers in the sold network using the  Onivia’s fiber
It is planning to extend its rural FTHH Network  in 2022",Active,2019,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban"
wiatowod_inwestycje,Poland,Światłowód Inwestycje,Poland,"T-Mobile, Orange, NETIA",FTTH wholesale | Dark Fiber Leasing,Independent Fixed NaaSCo,"Current: 800 households
Target: 2.4 millions","Joint venture between Orange Poland & APG
Orange Poland's subsidiary 
In 2020,  APG acquired the 50 percent of FiberCo (Swiatlowod Inwestycje), Orange Poland received PLN 897 million as the first part of the payment for the transaction. Payment of the remaining PLN 487 million will occur in 2022-2026.
In 2021, it received a found of PLN 600 million from the European Investment Bank (EIB) as part of the project Fiber Optic Network Expansion Poland (FONEXP)",Active,2021,"Rural, Low-ARPU Urban, High-ARPU Urban"
alita,Indonesia,Alita Indonesia / Facebook,Indonesia,---,FTTH Wholesale | Dark Fiber Sharing,Independent Fixed NaaSCo,"Target: 10 million Indonesians in 56 cities in 8 provinces.
3,000 kilometers","This is Facebook’s largest fiber initiative in Asia to date
The metro fiber  will connect more than 1,000 cell sites in Bali, Java, Kalimantan and Sulawesi in Indonesia",Active,2021,"Low-ARPU Urban, High-ARPU Urban"
chorus,New Zealand,Chorus,New Zealand,"2degrees, 2Talk, Big Pipe, Bryte Internet Solutions, Cello Group Limited, Compass, Devoli, Econofibre",FTTH Wholesale ,Independent Fixed NaaSCo,"Current: 1,761,000 fixed line connections and 1,223,000 broadband connections.
Target : 90% of the population by 2022.","Due to the UFB (Ultra-Fast Broadband) initiative, Chorus is only allowed to extend its Network in areas not included in the Government’s UFB initiative.
In 2021, The New Zealand Commerce Commission (ComCom)  performed an official valuation of Chorus to determine the maximum revenue  a regulated provider like Chorus can earn from its fiber network",Active,2011,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban"
open_connect_limited,Malawi,Open Connect Limited,Malawi,---,FTTH Wholesale | Dark Fiber Sharing,Independent Fixed NaaSCo,"Current: 3,800 km","It is the largest and only redundant fiber network in Malawi
In 2018, it was acquired by the private company Harith General Partners after it split with the public-owned Malawi Telecom Limited
In 2021,  received a loan of $10 million from the International Finance Corporation (IFC) the private-sector investment of the World Bank 
 OCL is already working on upgrading this capacity to DWDM(STM-192)",Active,2018,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban"
city_fibre,UK,CityFibre,UK,---,FTTH Wholesale,Independent Fixed NaaSCo,Target: a third of the UK market by 2025 (8 million homes),"Partnership with Mubadala as part of the UAE–UK Sovereign Investment Partnership program
Total investment of £1.425bn,  £4bn of them provided by the Gigabit City Investment Programme
Plans to upgrade its Network  to XGS-PON",Active,2012,"Rural, Low-ARPU Urban, High-ARPU Urban"
netomnia,UK,Netomnia,UK,---,FTTH Wholesale,Independent Fixed NaaSCo,"Current: 130,000 premises 
Target:  1 million residential and business premises by 2023.","Tightly related to ISP YouFibre (same CEO)
Soho Square Capital LLP and Advencap Limited were the first stakeholders
In 2022, Netomnia a new founding of  £295 million led by DigitalBridge Investment Management (“DigitalBridge”)
Named ‘Altnet Operator of the Year’ at the 2021 Broadband World Forum Awards",Active,2019,"Rural, Ultra-Rural, Low-ARPU Urban, High-ARPU Urban"
full_fiber,UK,Full Fibre,UK,"BeFibre, Squirrel, Merula, AIR & SWS Broadband",FTTP Wholesale | Ip/Ethernet Services | Dark Fiber Leasing,Independent Fixed NaaSCo,"Target: 250,000 premises during 2022 and 500,000 homes across 4 regions by 2025. ","In 2020, It received a 500m investment from Basalt Infrastructure Partners III, an infrastructure investment firm
It is Focused on Market towns
Fiber Network routes are designed to cover social housing providing lower price points",Active,2017,"Rural, Ultra-Rural"
cetin,,Cetin,"Czech Republic, Bulgaria, Hungary, Serbia","O2, T-Mobile and Vodafone, Telenor among others",FTTH Wholesale | Dark Fiber Leasing | Wavelength Service | Ip/Ethernet Services ,Independent Fixed NaaSCo,"69,700 kilometers of fiber optic cables span over Czech Republic, Bulgaria, Hungary, Serbia 
3.9 million households connected by FTTC and 105 thousand households with FTTH in the Czech Republic (85% of all households)","By the end of 2027, CETIN plans to build one million 1Gbps FTTH optical connections
 Since 2015, it has invested more than CZK8 billion (USD383.2 million) in the modernization of its fixed-line network
In 2021, CETIN Bulgaria acquired 100% of the fiber-optic services company Sofia Communications  expanding its fiber network in Bulgaria's capital Sofia",Active,2020,"Rural, Low-ARPU Urban, High-ARPU Urban"
csquared,,Csquared,"Uganda, Ghana and Liberia","MTN, Orange, Africell, Vodacom, iWayAfrica, SimbaNet",FTTH wholesale | Dark Fiber Leasing,Independent Fixed NaaSCo,"CSquared currently owns and operates 890 km of metropolitan fiber in Uganda;  more than 1070 km of fiber in Ghana and more than 180 km in Monrovia. , Liberia","It is a joint venture between Google, Mitsui & Co (Japan), Convergence Partners (South Africa) and the International Finance Corporation (IFC, World Bank Group).
CSquared deployed  a GPON Network to offer FTTH services in Kampala 
CSquared  has a public Wi-Fi infrastructure setup to serve end users on-the-go as well as fixed wireless users. 
Offers Backbone Wholesale services from 1G and up to 100G+
Still expanding the network, in 2021 signed a license to build a backbone or network throughout Liberia.",Active,2011,"Rural, Ultra-Rural, Low-ARPU Urban"
eurofiber,,Eurofiber,"Netherlands, Belgium, France and Germany ","Leading European MNOs: Colt, Vodafone, Verizon, Ubisoft, gtt",Dark Fiber Leasing |IP/Ethernet Services,Independent Fixed NaaSCo,"Operate over 56,300km overall fiber network across countries where Eurofiber operates","Eurofiber offers interconnectivity between nearly all carrier-neutral data centers in the Netherlands and Belgium.
Serves customers in the wholesale carrier, data center, enterprise, finance, government & utilities, education, and healthcare sectors.
2021 – NGN (Germany) and Eurofiber partnered to expand existing NGN’s nationwide fiber network and make it accessible to all German telecom operators.
Still growing, in 2021 the Network was expanded to Berlin and Frankfurt.",Active,2000,"Rural, Low-ARPU Urban, High-ARPU Urban"
dstelecom,Portugal,dstelecom,Portugal,"Vodafone and Nos, among others",FTTH wholesale | Dark Fiber Leasing ,Independent Fixed NaaSCo,"Built and operated  9,000 kilometers of rural broadband network in the North of Portugal, Alentejo and Algarve.  ","Joint venture between DST Group  and Cube Infrastructure Fund II 
Won the FTTH Council Europe 2015 Best Operator Award
Signed a 50 million financing agreement with the German bank HSH Nordbank
Vodafone, Nos and DSTelecom will deploy up to 1.2 million fibre-to-the-home (FTTH) lines to reach 5.7 million homes
Still growing, in 2021 16,000 households in Arcos de Valdevez and 5,300 in Terras de Bouro were connected",Active,2010,"Rural, Ultra-Rural"
ufinet,,ufinet,Latin America,Latin-American MNOs & ISPs,FTTH wholesale | Dark Fiber Leasing ,Independent Fixed NaaSCo,"Dark fiber network deployed in America with more than 90,000 km length.
More than 5k towers  
Coverage in 17 Countries","Ufinet provides our Fiber-to-the-Home services across LATAM under an open neutral host model.
Other series offered by Ufinet are tower construction, internet connectivity and Layer 3 services.
Still growing, in 2021 the Brazilian NB Telecom company was acquired adding more than 500 km of fiber. ",Active,2008,"Rural, Low-ARPU Urban, High-ARPU Urban"
lyntia,Spain,Lyntia,Spain,MásMóvil among others,FTTH wholesale | Dark Fiber Leasing ,Independent Fixed NaaSCo,"Fiber Optic Network of 43,439 km over 1,912 cities across Spain.
2,694 connected localities","Created by Ufinet and Desarrollo del Cable
In March 2019, it acquires the Iberdrola’s Dark Fiber extending the Network 15,000 km 
Lyntia and Reintel own  90% of the fiber optic market in Spain
",Active,2009,"Rural, Low-ARPU Urban, High-ARPU Urban"
mila,Iceland,Míla,Iceland,"Vodafone, Hringdu, Hringiðan / Vortex, Símafélagið, 365 and Nova",FTTH wholesale | IP/Ethernet Services | Dark Fiber Leasing,Independent Fixed NaaSCo,"70% of homes in Iceland and the entire Capital area
4,000 km of fiber optic Network, 
It will connect 13,000 addresses in rural towns and villages","Mila has started laying fiber connections around the country, in towns including Akureyri, Húsavík, Egilsstaðir, Selfoss, and Reykjanesbær.
In 2018, It started a parentship with Gagnaveita Reykjavíkur to lay fiber optic cables in certain residential areas in the capital area of Iceland",Active,2021,"Rural, Ultra-Rural,Low-ARPU Urban, High-ARPU Urban"
american_tower,,American Tower,"Mexico,
Brazil",VIVO,Wavelength Service | Ip/Ethernet Services | Dark Fiber Leasing | FTTH Wholesale,Independent Fixed NaaSCo,"90% of the Minas Gerais, Brazil (800,000 Households)
6,500 km of Fiber Optic deployed in 29 Mexican cities","In 2018, ATC acquired the broadband network of Companhia Energética de Minas Gerais (Cemig) , the Network was evolved into a shared Network.
In 2019,  Telefónica Brazil started a partnership with ATC to promote its FTTH network deployment through the Vivo Fibra brand",Active,2019,Low-ARPU Urban and High-ARPU Urban
